[2026-06-20 17:51:00.907] [INFO] Logger initialized
[2026-06-20 17:51:00.909] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 17:51:00.930] [EVT.SPAWN] Coral at (3745,135)
[2026-06-20 17:51:00.930] [EVT.SPAWN] OakTree at (2145,3414)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Bush at (4099,4125)
[2026-06-20 17:51:00.930] [EVT.SPAWN] WaterLily at (3948,196)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Seaweed at (5090,321)
[2026-06-20 17:51:00.930] [EVT.SPAWN] GrassTuft at (3577,3651)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Toadstool at (3823,4448)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Bush at (1262,3731)
[2026-06-20 17:51:00.930] [EVT.SPAWN] BerryBush at (1346,1332)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Bush at (1701,33)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Flowers at (955,3941)
[2026-06-20 17:51:00.930] [EVT.SPAWN] BerryBush at (5920,280)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Pine at (1702,4242)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (3600,4309)
[2026-06-20 17:51:00.930] [EVT.SPAWN] OakTree at (2106,3513)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Flowers at (5158,4494)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Algae at (1226,3253)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Grass at (621,2563)
[2026-06-20 17:51:00.930] [EVT.SPAWN] BerryBush at (1385,3005)
[2026-06-20 17:51:00.930] [EVT.SPAWN] GrassTuft at (3599,1261)
[2026-06-20 17:51:00.930] [EVT.SPAWN] PineTree at (5272,557)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Coral at (4018,62)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Flowers at (3885,1917)
[2026-06-20 17:51:00.930] [EVT.SPAWN] OakTree at (2866,2701)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Toadstool at (3138,881)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Grass at (6083,3670)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Coral at (1309,2414)
